,Unnamed: 0,dataset,k1,k2,distance,alphas,losses_train,accuracy_lst_train,losses_test,accuracy_lst_test
0,0,TINYIMAGENET,0,2,36.92392565518327,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[ 6.46911945  6.63864415  6.84589431  7.24631053  7.55283009  7.9322995
  8.30292461  8.68942947  9.00564169  9.42795067  9.75346946 10.00000036
 10.29264552 10.42108924 10.48214505 10.56953089 10.52473843 10.48269328
 10.31044188 10.06133122  9.91677246  9.62178071  9.41695938  9.20970561
  9.04919811]","[0.1993579  0.19811991 0.19777736 0.19623289 0.19423768 0.19109464
 0.18849246 0.18534341 0.18135902 0.1774227  0.17306571 0.16804766
 0.16350437 0.16068584 0.15721227 0.15539736 0.15341418 0.15321586
 0.15221826 0.15259086 0.15258485 0.15254879 0.15276513 0.15232643
 0.1518697 ]","[ 6.58445593  6.77391527  7.03957906  7.31820192  7.60564069  8.02640999
  8.3686475   8.68325962  9.06037276  9.42562426  9.69551536  9.92365389
 10.23886609 10.35886615 10.46053311 10.53086778 10.4491921  10.40759935
 10.2775919  10.08964258  9.82389068  9.7288416   9.48461278  9.18293166
  9.07321472]","[0.19672568 0.19639515 0.19579418 0.19435187 0.19239873 0.18987468
 0.18530735 0.18398523 0.18080012 0.17659337 0.17133493 0.16860055
 0.16412336 0.16111854 0.15736251 0.15477837 0.15399711 0.1541774
 0.15324591 0.15297547 0.15369663 0.15375673 0.15363653 0.15453798
 0.1516834 ]"
1,1,TINYIMAGENET,0,3,48.95657797916953,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[3.66977021 3.83169663 4.04661709 4.23089602 4.4245268  4.63802726
 4.87970186 5.10085176 5.30240358 5.49563009 5.63917333 5.75442764
 5.87630922 5.9205944  5.95673145 5.95337577 5.86155107 5.7942614
 5.66556659 5.53818603 5.38468063 5.25650737 5.07321923 4.90175841
 4.78803932]","[0.34960165 0.34873627 0.34665726 0.34452548 0.34062073 0.33724365
 0.3310066  0.32512837 0.31909184 0.3131714  0.30698712 0.30071842
 0.29479797 0.29203299 0.28737895 0.28516274 0.28455065 0.28378025
 0.28552156 0.28576429 0.2872101  0.28843429 0.28783275 0.28683018
 0.28632361]","[3.76924912 3.88408055 4.08978514 4.26546535 4.46787662 4.67482344
 4.91487633 5.09180475 5.27628954 5.45964393 5.6621915  5.78268745
 5.86639274 5.93501471 5.91248401 5.98774787 5.86838549 5.7618957
 5.63188426 5.5316332  5.34054027 5.2263151  5.08834967 4.95091436
 4.83712514]","[0.34652006 0.3458341  0.34097954 0.34293192 0.33923824 0.33243131
 0.32937083 0.32504395 0.31649571 0.30778918 0.30356783 0.29950478
 0.29454469 0.29074548 0.28699903 0.28541602 0.2865769  0.2865769
 0.287685   0.2867352  0.29106208 0.28742117 0.28499389 0.28583816
 0.28562709]"
2,2,TINYIMAGENET,0,1,29.605973449897856,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[8.91522497 8.90195555 9.01906528 9.11187066 9.18079374 9.22707783
 9.3270852  9.42827833 9.52267051 9.62034396 9.73255885 9.76274682
 9.72599743 9.66097858 9.71308838 9.61188702 9.49449549 9.4462894
 9.29467251 9.13663308 9.01344396 8.9024703  8.84201544 8.71878929
 8.63322166]","[0.15063958 0.14938014 0.15200853 0.15042055 0.14992772 0.15403458
 0.15080385 0.150092   0.150092   0.15167998 0.15200853 0.15091337
 0.15255611 0.15222757 0.1551845  0.15556781 0.15529402 0.15786765
 0.15748434 0.16115314 0.15934612 0.16000322 0.15929136 0.1588533
 0.15836047]","[8.88388233 8.89476259 9.06441584 9.08632479 9.21887833 9.36968446
 9.41895754 9.4535774  9.63144411 9.64774551 9.66290719 9.76249618
 9.73976775 9.70911966 9.6432798  9.56676715 9.4965239  9.36033344
 9.25731171 9.21890863 9.09590975 8.91107571 8.87169364 8.73356125
 8.70495375]","[0.15124192 0.15381555 0.15288466 0.15545829 0.15343224 0.15299418
 0.15266563 0.15430837 0.15129668 0.15239184 0.15315845 0.15304894
 0.15184426 0.1558416  0.15491071 0.15611539 0.15682725 0.15786765
 0.15978419 0.16066032 0.15874378 0.16191975 0.16076983 0.1615912
 0.15808668]"
3,3,TINYIMAGENET,0,5,61.218678577242486,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[3.46236482 3.64362382 3.82966477 3.98421415 4.17397676 4.39478441
 4.53063816 4.72590704 4.84286507 4.96488717 5.00464319 5.05155164
 5.06246712 5.07375474 5.05306696 4.92385169 4.80937609 4.68378275
 4.53130508 4.3682622  4.1786387  4.04631681 3.83457233 3.65963769
 3.50861118]","[0.39033554 0.3964088  0.39054141 0.39815872 0.38992379 0.38858562
 0.3848799  0.38271823 0.37468918 0.37396862 0.36583663 0.366866
 0.36614544 0.36789536 0.36635132 0.36882179 0.36954235 0.37777728
 0.38560046 0.38662982 0.38920324 0.38971792 0.38848268 0.3902326
 0.38508577]","[3.49891034 3.63544128 3.82111801 3.99703279 4.17336429 4.36709669
 4.56517605 4.69058467 4.8706959  4.95094086 5.02627581 5.06368988
 5.05318848 5.07111692 5.00141625 4.94512483 4.83793305 4.66848228
 4.54011031 4.37546042 4.1768568  3.99492519 3.86674112 3.66994013
 3.50745912]","[0.39177665 0.38971792 0.3921884  0.38858562 0.38868855 0.38529165
 0.38199768 0.38230649 0.37376275 0.36666012 0.36882179 0.36974822
 0.36738068 0.36985116 0.36830711 0.36666012 0.37448331 0.37551267
 0.37849783 0.38652689 0.38457109 0.38837974 0.38693863 0.38745332
 0.39085022]"
4,4,TINYIMAGENET,0,9,80.84652130944053,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[3.1600682  3.39500289 3.65852389 3.95786941 4.19277987 4.44946812
 4.68236635 4.9292579  5.0748587  5.2306901  5.29393465 5.39210823
 5.38939878 5.34344939 5.31241589 5.19217966 5.05032363 4.85098832
 4.67790877 4.43876219 4.21228978 3.94088793 3.69195036 3.40708598
 3.19029504]","[0.40886503 0.40955836 0.4083698  0.40113938 0.39965368 0.39311659
 0.39747465 0.38737188 0.38836235 0.38241954 0.3761796  0.37588246
 0.37687293 0.37875481 0.38390525 0.3838062  0.38568809 0.39519658
 0.39806893 0.40044606 0.40321936 0.40827075 0.4081717  0.41223262
 0.40827075]","[3.24730212 3.47700895 3.72057156 3.95111591 4.2189774  4.47167743
 4.68591326 4.91219871 5.03919559 5.19317033 5.29552909 5.35921459
 5.36301525 5.36760538 5.30095628 5.19274694 5.04519595 4.93015158
 4.65570174 4.46597761 4.226841   3.98118689 3.70832224 3.46908329
 3.2353513 ]","[0.40104034 0.40262508 0.40391269 0.40163462 0.39697942 0.39499848
 0.39371088 0.38717379 0.38816426 0.38261764 0.37845767 0.37211868
 0.38182526 0.38053766 0.38004242 0.38707474 0.38747093 0.38935282
 0.39767275 0.39915845 0.40490316 0.40678505 0.40589363 0.40698314
 0.40589363]"
10,10,TINYIMAGENET,1,2,13.96938045346662,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[7.03094734 6.92408077 6.9599608  6.99432471 6.97345995 6.98407745
 6.89646698 6.97494381 6.95052115 6.981127   6.8915865  6.94794999
 7.0000309  6.91426808 6.90362197 6.84855095 6.9503456  6.92185134
 6.94619644 6.88661575 6.89348527 6.88134399 6.9006168  6.88597972
 6.90608537]","[0.1993579  0.20157778 0.2018861  0.20170111 0.2000362  0.20281105
 0.20453763 0.20318103 0.20213275 0.20287272 0.20453763 0.20435264
 0.20478428 0.20330436 0.20194776 0.2069425  0.203736   0.20749747
 0.20484595 0.20626421 0.20348935 0.20299604 0.20299604 0.20311937
 0.20503094]","[6.97347647 6.96530893 6.97576818 6.95045076 7.00327932 6.94967201
 6.95872545 6.99408293 6.96344219 6.99311209 6.96113512 6.94404281
 7.02068628 6.90319101 6.90810472 6.90021675 6.92445694 6.9029286
 6.92451576 6.95495662 6.92883058 6.94871471 6.85371448 6.91987674
 6.90752946]","[0.19781631 0.19849461 0.20200943 0.19997453 0.20194776 0.20194776
 0.20170111 0.20367434 0.20515426 0.20274939 0.20435264 0.20552424
 0.20503094 0.2050926  0.20459929 0.20583256 0.20632587 0.20570923
 0.20570923 0.20225608 0.20601755 0.20231775 0.20410598 0.2032427
 0.20151612]"
11,11,TINYIMAGENET,1,6,35.08602568229888,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[3.28639872 3.32850404 3.34436167 3.40530438 3.45479538 3.49371809
 3.53541173 3.57113095 3.55911366 3.58797838 3.61647577 3.59297077
 3.60159081 3.59600079 3.60800337 3.56174637 3.55586871 3.51958874
 3.4913192  3.49585772 3.44225012 3.37497236 3.32406299 3.2945161
 3.20597814]","[0.41086288 0.41191854 0.41899146 0.41529665 0.41846363 0.4136076
 0.41878033 0.42236957 0.42036382 0.4179358  0.4182525  0.42374193
 0.4185692  0.42532542 0.42036382 0.42078608 0.42068052 0.41983599
 0.41983599 0.41730241 0.41614118 0.42015269 0.4182525  0.41624675
 0.41519109]","[3.3024082  3.37306595 3.40373211 3.44740455 3.47630946 3.53378117
 3.54001028 3.59663854 3.58309021 3.63447155 3.66235051 3.65813338
 3.6602649  3.67408063 3.66998079 3.62443779 3.61689034 3.59423347
 3.51779434 3.53919511 3.46331479 3.43280036 3.35912016 3.33947168
 3.26647835]","[0.41371316 0.41202411 0.41487439 0.4123408  0.4132909  0.41571892
 0.41666901 0.41730241 0.41994156 0.41529665 0.41730241 0.41751354
 0.41730241 0.41909703 0.41846363 0.41719684 0.41783024 0.41424099
 0.41603561 0.4123408  0.41466326 0.41276307 0.41371316 0.40896269
 0.41022948]"
17,17,TINYIMAGENET,2,3,16.88759613938077,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[3.97087169 4.02676169 4.0351207  4.00475093 4.00603412 4.04465287
 4.05595466 4.05032301 4.03212356 4.05740641 4.03346893 4.05578936
 4.0531967  4.05334098 4.028803   4.03209741 4.00890362 3.99069166
 4.00768115 3.96970627 3.9690502  3.98824857 3.93828096 3.94609192
 3.90205574]","[0.34960165 0.34820164 0.35470167 0.35310167 0.35320167 0.35450167
 0.35450167 0.35070166 0.35800169 0.35010165 0.35680168 0.35490168
 0.35530168 0.35390167 0.35460167 0.35500168 0.35400167 0.35370167
 0.35450167 0.35870169 0.35340167 0.35220166 0.35120166 0.35150166
 0.35000165]","[4.00194941 4.0189298  4.03642201 4.03964104 4.0170365  4.04074108
 4.07819582 4.09534957 4.08487953 4.04246764 4.06290857 4.0419752
 4.05396943 4.02980078 4.02501394 4.049204   4.06369345 4.03945857
 4.08043751 4.0154503  3.9963411  3.98660162 3.98189883 3.97019134
 3.94969145]","[0.34930165 0.35160166 0.35340167 0.35280167 0.35620168 0.35300167
 0.34960165 0.35100166 0.35460167 0.3604017  0.35410167 0.35280167
 0.35330167 0.35350167 0.35290167 0.35450167 0.35250166 0.35280167
 0.35060165 0.35850169 0.35040165 0.35360167 0.35010165 0.34810164
 0.34750164]"
18,18,TINYIMAGENET,2,7,34.27087607822647,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[3.10552752 3.1458041  3.18831487 3.21820021 3.26645513 3.28137949
 3.30269263 3.33112997 3.33460269 3.35641961 3.37358576 3.36903478
 3.35374419 3.3651068  3.36694827 3.33173765 3.3691968  3.31335328
 3.30170378 3.27962182 3.21622049 3.22447574 3.15441409 3.14208649
 3.10893339]","[0.43153191 0.42522046 0.43089007 0.43484809 0.43313652 0.43324349
 0.4323877  0.43121099 0.43228073 0.4368806  0.43067612 0.43270862
 0.43024823 0.43591783 0.43228073 0.43345744 0.43270862 0.43409928
 0.43356441 0.4344202  0.43249467 0.43345744 0.43067612 0.43281559
 0.4303552 ]","[3.13480252 3.19647326 3.22754497 3.23729377 3.296535   3.2916624
 3.34822335 3.37386093 3.37714575 3.39237479 3.40931868 3.40921885
 3.41729303 3.38934606 3.41271611 3.39505452 3.39109403 3.37107612
 3.33842217 3.27881418 3.29377034 3.28138633 3.23190309 3.17247684
 3.12234484]","[0.42864362 0.42800178 0.42768086 0.43185283 0.43228073 0.43024823
 0.43142494 0.42939244 0.43356441 0.43185283 0.43302954 0.43121099
 0.43153191 0.43463415 0.43313652 0.43292257 0.4344202  0.43666665
 0.43260165 0.43281559 0.43217375 0.42682507 0.4283227  0.43046217
 0.42971336]"
24,24,TINYIMAGENET,5,6,18.073923049928965,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[3.29562442 3.29124461 3.35914545 3.32600644 3.36217061 3.39901817
 3.38023814 3.39161829 3.38417504 3.39289997 3.39930061 3.41617673
 3.41997386 3.42178284 3.38885991 3.3849243  3.42250302 3.38188607
 3.38188931 3.34800447 3.37182334 3.35157531 3.32794893 3.31482401
 3.32913125]","[0.41086288 0.41004013 0.40520644 0.41374252 0.40808608 0.40890884
 0.40808608 0.40808608 0.41127426 0.41168563 0.40746902 0.40860031
 0.41076004 0.41312545 0.41199417 0.41487381 0.40448653 0.40767471
 0.41219986 0.41004013 0.40746902 0.40520644 0.40911453 0.40561782
 0.40386947]","[3.36820334 3.35512216 3.41612864 3.42426192 3.41258605 3.42147865
 3.433599   3.44394587 3.42846266 3.44281124 3.45256635 3.45793941
 3.42626931 3.43713744 3.4611186  3.43526829 3.4321589  3.43141572
 3.41993984 3.44388256 3.4140924  3.38154842 3.36835225 3.40567264
 3.33714463]","[0.40921737 0.4060292  0.40736617 0.40613204 0.41014297 0.40572067
 0.40839462 0.40561782 0.40716049 0.41004013 0.40962875 0.40983444
 0.41158279 0.41055435 0.4069548  0.40520644 0.40880599 0.40561782
 0.4032524  0.40541213 0.40674911 0.40716049 0.40818893 0.39955001
 0.40253249]"
