,dataset,k1,k2,distance,alphas,losses_train,accuracy_lst_train,losses_test,accuracy_lst_test
0,CIFAR-10,0,2,40.808998107910156,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[0.9691677963638305, 0.9963205918502808, 1.0296429992866516, 1.0689805561065673, 1.1118389067840577, 1.1646612534332275, 1.217504148979187, 1.2712914666748047, 1.3258652606964112, 1.3778038024520873, 1.4233446469497681, 1.4651087758255006, 1.4990932002258301, 1.5242873226165772, 1.5395600653457642, 1.5463172496795654, 1.5463601056289673, 1.5349143770599365, 1.5184645037841797, 1.4929436463928223, 1.465843314743042, 1.4361287771606446, 1.4071010347747803, 1.3828543998336793, 1.3664131261444092]","[0.66346, 0.65934, 0.6582, 0.65306, 0.64642, 0.63596, 0.6273, 0.61682, 0.60356, 0.59046, 0.57596, 0.55926, 0.54414, 0.53476, 0.5232, 0.51716, 0.51056, 0.5099, 0.50658, 0.50782, 0.5078, 0.50768, 0.5084, 0.50694, 0.50542]","[0.9890923458099365, 1.0132948775291444, 1.0428602306365966, 1.0841957809448242, 1.123934490966797, 1.1744544919967652, 1.2252626836776734, 1.2752995258331299, 1.3298251375198364, 1.3790136001586915, 1.4280656887054444, 1.463621524810791, 1.4981303583145142, 1.518716215133667, 1.5359088876724243, 1.5421430507659912, 1.5407133447647094, 1.5309633647918701, 1.5172629985809327, 1.492186386680603, 1.4606080749511718, 1.4334056568145752, 1.4077922889709473, 1.3749943328857421, 1.3587608806610108]","[0.6547, 0.6536, 0.6516, 0.6468, 0.6403, 0.6319, 0.6167, 0.6123, 0.6017, 0.5877, 0.5702, 0.5611, 0.5462, 0.5362, 0.5237, 0.5151, 0.5125, 0.5131, 0.51, 0.5091, 0.5115, 0.5117, 0.5113, 0.5143, 0.5048]"
1,CIFAR-10,0,3,41.83929443359375,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[0.9704488919448853, 0.9944326622772217, 1.0281155249786378, 1.0672168117523193, 1.1115461326980591, 1.1572229851913451, 1.2107056262207032, 1.2630548934555055, 1.3093619666290284, 1.3534940817642211, 1.3933737653732299, 1.4246175877761842, 1.4488968701934815, 1.4624143249511719, 1.4712155917739869, 1.4714342937088012, 1.4599157626724244, 1.4432822472381592, 1.4192840569686889, 1.391729517288208, 1.3614507865905763, 1.3313724422454833, 1.3037295950317382, 1.2821761477279663, 1.2668025945663453]","[0.66254, 0.6609, 0.65696, 0.65292, 0.64552, 0.63912, 0.6273, 0.61616, 0.60472, 0.5935, 0.58178, 0.5699, 0.55868, 0.55344, 0.54462, 0.54042, 0.53926, 0.5378, 0.5411, 0.54156, 0.5443, 0.54662, 0.54548, 0.54358, 0.54262]","[0.9898242136001587, 1.010600689315796, 1.04648762550354, 1.0841826713562013, 1.1208778008460998, 1.1704244010925293, 1.2199656187057495, 1.2649473672866822, 1.3112974046707153, 1.3557791500091552, 1.3963703926086426, 1.424216415977478, 1.450643151473999, 1.4655520267486573, 1.4650641427993774, 1.4721912273406983, 1.4602834609985351, 1.4413709547042846, 1.4172683162689208, 1.391279117012024, 1.356855151939392, 1.330299855041504, 1.304170489692688, 1.2854065525054932, 1.2742510513305665]","[0.6567, 0.6554, 0.6462, 0.6499, 0.6429, 0.63, 0.6242, 0.616, 0.5998, 0.5833, 0.5753, 0.5676, 0.5582, 0.551, 0.5439, 0.5409, 0.5431, 0.5431, 0.5452, 0.5434, 0.5516, 0.5447, 0.5401, 0.5417, 0.5413]"
2,CIFAR-10,0,1,15.886476516723633,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[1.5590680980682372, 1.5611083793640137, 1.5705678844451905, 1.5862505173683166, 1.5988543319702149, 1.6076124048233031, 1.625123414993286, 1.6442818546295166, 1.6557256388664245, 1.6642870473861695, 1.6750579404830932, 1.6822392511367799, 1.680821053981781, 1.6768878126144409, 1.6677813029289246, 1.6600293183326722, 1.6419313645362854, 1.6211983418464662, 1.6092547702789306, 1.5882289814949035, 1.5739210367202758, 1.5522966480255127, 1.537795479297638, 1.5304177689552307, 1.5135893392562867]","[0.42984375, 0.42625, 0.43375, 0.42921875, 0.4278125, 0.43953125, 0.4303125, 0.42828125, 0.42828125, 0.4328125, 0.43375, 0.430625, 0.4353125, 0.434375, 0.4428125, 0.44390625, 0.443125, 0.45046875, 0.449375, 0.45984375, 0.4546875, 0.4565625, 0.45453125, 0.45328125, 0.451875]","[1.5547092986106872, 1.5584509420394896, 1.5727943634986878, 1.5812955260276795, 1.5982765221595765, 1.6128926801681518, 1.6301458692550659, 1.6477676343917846, 1.66181223154068, 1.6703509402275085, 1.676356315612793, 1.6845091199874878, 1.6843370771408082, 1.6778447198867799, 1.6692820882797241, 1.657152693271637, 1.6443736791610717, 1.6249731755256653, 1.610264971256256, 1.5952465653419494, 1.5757092595100404, 1.5541113305091858, 1.5444823145866393, 1.5293798494338988, 1.5253116941452027]","[0.4315625, 0.43890625, 0.43625, 0.44359375, 0.4378125, 0.4365625, 0.435625, 0.4403125, 0.43171875, 0.43484375, 0.43703125, 0.43671875, 0.43328125, 0.4446875, 0.44203125, 0.44546875, 0.4475, 0.45046875, 0.4559375, 0.4584375, 0.45296875, 0.46203125, 0.45875, 0.46109375, 0.45109375]"
3,CIFAR-10,0,5,35.56424331665039,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[1.1425824785232543, 1.1653838849067688, 1.1977414894104004, 1.2189328503608703, 1.2595759153366088, 1.30332044839859, 1.3340034127235412, 1.3736972260475158, 1.4081316161155701, 1.4315987730026245, 1.4446722722053529, 1.4632739162445068, 1.4648488068580627, 1.4562649536132812, 1.448926155567169, 1.4275448799133301, 1.3993582582473756, 1.3709334492683412, 1.335524709224701, 1.2965727925300599, 1.2638573241233826, 1.2346029949188233, 1.197337601184845, 1.1718628525733947, 1.1593067479133605]","[0.5925, 0.60171875, 0.5928125, 0.604375, 0.591875, 0.58984375, 0.58421875, 0.5809375, 0.56875, 0.56765625, 0.5553125, 0.556875, 0.55578125, 0.5584375, 0.55609375, 0.55984375, 0.5609375, 0.5734375, 0.5853125, 0.586875, 0.59078125, 0.5915625, 0.5896875, 0.59234375, 0.58453125]","[1.1454271829128266, 1.169817259311676, 1.1901864838600158, 1.2310376501083373, 1.2614992308616637, 1.3035872411727905, 1.3485750341415406, 1.3776043367385864, 1.4134328842163086, 1.431165554523468, 1.4520171856880189, 1.4595960545539857, 1.4610899710655212, 1.4587365293502808, 1.443198311328888, 1.428736343383789, 1.4006045961380005, 1.3670106267929076, 1.3414966177940368, 1.3022111296653747, 1.2689191460609437, 1.2294753289222717, 1.2019786357879638, 1.1792235672473907, 1.1547022080421447]","[0.5946875, 0.5915625, 0.5953125, 0.58984375, 0.59, 0.58484375, 0.57984375, 0.5803125, 0.56734375, 0.5565625, 0.55984375, 0.56125, 0.55765625, 0.56140625, 0.5590625, 0.5565625, 0.5684375, 0.57, 0.57453125, 0.58671875, 0.58375, 0.58953125, 0.58734375, 0.588125, 0.59328125]"
4,CIFAR-10,0,9,48.238094329833984,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[1.0024761438369751, 1.0190834522247314, 1.0497607278823853, 1.0845517790317536, 1.130507732629776, 1.1715841555595399, 1.207448923587799, 1.2508684086799622, 1.2814767098426818, 1.3100196433067322, 1.3262596487998963, 1.3418852019309997, 1.3462951517105102, 1.3351044964790344, 1.3213172101974486, 1.3015422534942627, 1.2829427933692932, 1.2377471470832824, 1.2125544595718383, 1.1696446561813354, 1.1289026892185212, 1.0904729878902435, 1.0542147612571717, 1.0211403381824493, 1.0102218544483186]","[0.645, 0.64609375, 0.64421875, 0.6328125, 0.63046875, 0.62015625, 0.62703125, 0.61109375, 0.61265625, 0.60328125, 0.5934375, 0.59296875, 0.59453125, 0.5975, 0.605625, 0.60546875, 0.6084375, 0.6234375, 0.62796875, 0.63171875, 0.63609375, 0.6440625, 0.64390625, 0.6503125, 0.6440625]","[1.0301966106891631, 1.0445905566215514, 1.0684608709812164, 1.0969536638259887, 1.1350403678417207, 1.1746900486946106, 1.210363974571228, 1.2526811575889587, 1.2783607721328736, 1.3085869073867797, 1.3249180555343627, 1.3408425378799438, 1.3401262807846068, 1.338609721660614, 1.325187895298004, 1.3069498872756957, 1.275987675189972, 1.2533464169502258, 1.2051362681388855, 1.1784846663475037, 1.1337916052341461, 1.1034936952590941, 1.0650482547283173, 1.0406084156036377, 1.029721930027008]","[0.63265625, 0.63515625, 0.6371875, 0.63359375, 0.62625, 0.623125, 0.62109375, 0.61078125, 0.61234375, 0.60359375, 0.59703125, 0.58703125, 0.60234375, 0.6003125, 0.59953125, 0.610625, 0.61125, 0.61421875, 0.62734375, 0.6296875, 0.63875, 0.64171875, 0.6403125, 0.64203125, 0.6403125]"
5,CIFAR-10,0,13,57.600311279296875,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[0.9327849435806275, 0.9687155973911286, 1.009804483652115, 1.0682256352901458, 1.1148110806941987, 1.1715284538269044, 1.22065993309021, 1.267198097705841, 1.2941485810279847, 1.3254408192634584, 1.3418094396591187, 1.3444719409942627, 1.347587594985962, 1.336909384727478, 1.3173653769493103, 1.2884596467018128, 1.2576499724388122, 1.2073500180244445, 1.1618321180343627, 1.1200015294551848, 1.06135369181633, 1.0169443345069886, 0.9769275510311126, 0.9336294734477997, 0.918026692867279]","[0.68, 0.66984375, 0.6678125, 0.65984375, 0.659375, 0.6490625, 0.634375, 0.6146875, 0.610625, 0.60015625, 0.59265625, 0.59296875, 0.59671875, 0.59515625, 0.604375, 0.6025, 0.609375, 0.63, 0.6378125, 0.6453125, 0.6590625, 0.665625, 0.67109375, 0.6790625, 0.681875]","[0.9430517864227295, 0.9959504747390747, 1.0225267648696899, 1.0714160084724427, 1.1258421170711517, 1.1774358820915223, 1.2289234709739685, 1.2667624354362488, 1.2983443713188172, 1.3226498103141784, 1.3347023391723634, 1.3461793780326843, 1.3505872988700867, 1.3420233297348023, 1.3154903769493103, 1.2860017538070678, 1.2511469268798827, 1.2107321548461913, 1.1729538202285767, 1.1219611370563507, 1.0747878539562226, 1.031284054517746, 0.9926795220375061, 0.968993980884552, 0.9536050307750702]","[0.6734375, 0.66171875, 0.6640625, 0.65875, 0.6484375, 0.63828125, 0.62671875, 0.60859375, 0.6125, 0.59875, 0.59703125, 0.60140625, 0.5946875, 0.60015625, 0.60625, 0.614375, 0.61703125, 0.62953125, 0.63640625, 0.64515625, 0.65125, 0.66, 0.66359375, 0.66859375, 0.6659375]"
6,CIFAR-10,0,17,65.2900619506836,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[0.880249388217926, 0.9006230938434601, 0.9410770285129547, 0.9940972864627838, 1.0463137304782868, 1.1062304782867431, 1.161879529953003, 1.20623153924942, 1.2592047572135925, 1.2835978174209595, 1.2997911334037782, 1.315391640663147, 1.3130978059768676, 1.3053766107559204, 1.288244276046753, 1.2624479126930237, 1.2201576495170594, 1.1731818294525147, 1.1327054178714753, 1.0757123470306396, 1.0224041640758514, 0.9726487016677856, 0.9265698993206024, 0.8864557993412018, 0.863199372291565]","[0.69515625, 0.70171875, 0.6990625, 0.68984375, 0.684375, 0.67015625, 0.65375, 0.64484375, 0.6296875, 0.61640625, 0.6165625, 0.6071875, 0.614375, 0.61140625, 0.614375, 0.62125, 0.63734375, 0.64515625, 0.65484375, 0.66640625, 0.676875, 0.6915625, 0.69984375, 0.69765625, 0.703125]","[0.9168267452716827, 0.9369360780715943, 0.9665714454650879, 1.0107001745700837, 1.0604800379276276, 1.115584831237793, 1.1706733775138856, 1.2121498227119445, 1.2491113686561583, 1.2817856001853942, 1.30311767578125, 1.314395658969879, 1.3169457149505615, 1.3105350708961487, 1.2899544548988342, 1.2602272677421569, 1.227087411880493, 1.1781484031677245, 1.1341334080696106, 1.0824941074848176, 1.0272409749031066, 0.9907018792629242, 0.9512731897830963, 0.916251003742218, 0.9085018682479858]","[0.693125, 0.68234375, 0.68921875, 0.6759375, 0.6728125, 0.664375, 0.65203125, 0.6415625, 0.6334375, 0.6225, 0.6153125, 0.61546875, 0.60984375, 0.61234375, 0.61796875, 0.62296875, 0.63578125, 0.6496875, 0.65421875, 0.6646875, 0.67609375, 0.685, 0.6884375, 0.69015625, 0.68328125]"
7,CIFAR-10,0,21,71.8860092163086,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[0.8405248451232911, 0.8609868121147156, 0.8945228242874146, 0.9453734135627747, 1.0007359063625336, 1.0679906356334685, 1.1247322857379913, 1.170834264755249, 1.2150467658042907, 1.2541792225837707, 1.276331582069397, 1.2969359016418458, 1.3015753412246704, 1.2926112723350525, 1.27134610414505, 1.243221068382263, 1.214429922103882, 1.1670822596549988, 1.1188224387168884, 1.0605062901973725, 0.9984836113452912, 0.9490986835956573, 0.9059269464015961, 0.8692715895175934, 0.835738536119461]","[0.7084375, 0.70796875, 0.705625, 0.69859375, 0.6890625, 0.675, 0.6603125, 0.65359375, 0.63921875, 0.6225, 0.62015625, 0.61390625, 0.6078125, 0.61546875, 0.62890625, 0.63921875, 0.6390625, 0.6575, 0.6634375, 0.6784375, 0.6928125, 0.698125, 0.705, 0.70171875, 0.7103125]","[0.8851283740997314, 0.8974333786964417, 0.924443074464798, 0.9753235757350922, 1.0293802368640899, 1.0835227370262146, 1.1380865967273712, 1.189606821537018, 1.2244565200805664, 1.2648304724693298, 1.2823546123504639, 1.2972192859649658, 1.2906563758850098, 1.2920342373847962, 1.2780030345916749, 1.2529721689224242, 1.2201626563072205, 1.168546141386032, 1.123468747138977, 1.0702490568161012, 1.0122312104701996, 0.9760336172580719, 0.9331213581562042, 0.8962196171283722, 0.8746459722518921]","[0.690625, 0.68734375, 0.68828125, 0.6834375, 0.6728125, 0.66171875, 0.65296875, 0.64, 0.63625, 0.619375, 0.6146875, 0.61390625, 0.6221875, 0.61921875, 0.626875, 0.625, 0.64125, 0.6553125, 0.66515625, 0.66984375, 0.68609375, 0.68375, 0.69046875, 0.691875, 0.699375]"
8,CIFAR-10,0,25,77.8413314819336,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[0.828044399023056, 0.8532226884365082, 0.8997125780582428, 0.9546461915969848, 1.0166925513744354, 1.0748634791374208, 1.1396591925621034, 1.1941360092163087, 1.231116807460785, 1.2682468223571777, 1.299476718902588, 1.314695906639099, 1.31179270029068, 1.305275580883026, 1.2821535968780517, 1.2600676560401916, 1.2213566088676453, 1.1650996541976928, 1.1136137902736665, 1.0621955513954162, 0.9966641259193421, 0.9499216353893281, 0.8971752822399139, 0.8482472312450409, 0.8170771670341491]","[0.72328125, 0.72390625, 0.7146875, 0.7115625, 0.696875, 0.68390625, 0.6703125, 0.65046875, 0.64328125, 0.63546875, 0.6225, 0.616875, 0.6125, 0.62, 0.626875, 0.6303125, 0.6540625, 0.666875, 0.67671875, 0.69, 0.701875, 0.70828125, 0.7140625, 0.7203125, 0.72203125]","[0.8544803476333618, 0.8937866854667663, 0.9234943747520447, 0.9686535406112671, 1.036045459508896, 1.0836480712890626, 1.1387941670417785, 1.1988853693008423, 1.243114755153656, 1.2782021570205688, 1.2959973073005677, 1.3131309700012208, 1.3132063627243042, 1.3067393136024474, 1.2848050785064697, 1.2566828393936158, 1.2246847701072694, 1.16821555018425, 1.126766288280487, 1.0724085783958435, 1.0131887674331665, 0.9720021331310272, 0.9252689445018768, 0.8855597531795502, 0.8725468921661377]","[0.7028125, 0.69609375, 0.70328125, 0.69234375, 0.686875, 0.67375, 0.66375, 0.64640625, 0.63921875, 0.6246875, 0.62203125, 0.6096875, 0.61375, 0.6171875, 0.63125, 0.63625, 0.64875, 0.66328125, 0.67296875, 0.685, 0.693125, 0.69828125, 0.70234375, 0.7078125, 0.70265625]"
9,CIFAR-10,0,29,83.36654663085938,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[0.803771505355835, 0.8193573915958404, 0.8521467387676239, 0.9046961069107056, 0.970560212135315, 1.0262283074855805, 1.0913638997077941, 1.1440209221839905, 1.1926488852500916, 1.2332438158988952, 1.2642759799957275, 1.283247458934784, 1.286192593574524, 1.2830907464027406, 1.2666467881202699, 1.2369109249114991, 1.1991447257995604, 1.1576673531532287, 1.096911255121231, 1.0383735477924347, 0.9802836728096008, 0.9352627456188202, 0.8720841026306152, 0.8388594865798951, 0.8030612134933471]","[0.72625, 0.72578125, 0.72828125, 0.71625, 0.70421875, 0.69921875, 0.6834375, 0.666875, 0.65015625, 0.63828125, 0.63046875, 0.62171875, 0.6253125, 0.62796875, 0.6346875, 0.64140625, 0.65140625, 0.66359375, 0.68359375, 0.6921875, 0.7075, 0.71203125, 0.72484375, 0.71921875, 0.72515625]","[0.841014506816864, 0.854499158859253, 0.886405919790268, 0.9437915205955505, 0.9872034204006195, 1.0404309666156768, 1.111289505958557, 1.1555217289924622, 1.2064185404777528, 1.2407348513603211, 1.2657093977928162, 1.2819768595695495, 1.290197422504425, 1.2848414230346679, 1.2745695090293885, 1.2390401577949524, 1.2026077270507813, 1.1613425731658935, 1.10830100774765, 1.0567067301273345, 1.0027861893177032, 0.9519054305553436, 0.903387736082077, 0.871114581823349, 0.8468839573860169]","[0.7159375, 0.7165625, 0.705625, 0.70375, 0.69390625, 0.68703125, 0.66203125, 0.658125, 0.64359375, 0.635, 0.6265625, 0.62125, 0.61921875, 0.623125, 0.6278125, 0.63703125, 0.65171875, 0.65796875, 0.6725, 0.6803125, 0.69015625, 0.69953125, 0.7040625, 0.70796875, 0.70890625]"
